Place Name,State,lat,lon,Population,Area
Aguilar,CO,37.40361111,-104.655,480,1.016
Akron,CO,40.16333333,-103.2202778,"1,723",7.18
Alamosa,CO,37.47527778,-105.8769444,"9,591",19.871
Alma,CO,39.28583333,-106.0669444,313,1.129
Antonito,CO,37.07611111,-106.0102778,747,1.105
Arriba,CO,39.28444444,-103.2741667,207,1.292
Arvada,CO,39.83194444,-105.1511111,"121,272",102.485
Aspen,CO,39.195,-106.8366667,"7,401",9.992
Ault,CO,40.58916667,-104.7391667,"1,871",4.476
Aurora,CO,39.70833333,-104.7238889,"379,289",416.223
Avon,CO,39.64416667,-106.5130556,"6,511",21.819
Basalt,CO,39.36638889,-107.0413889,"4,157",5.178
Bayfield,CO,37.23416667,-107.5952778,"2,689",4.264
Bennett,CO,39.73666667,-104.4286111,"2,798",15.024
Berthoud,CO,40.30722222,-105.0425,"9,094",33.844
Bethune,CO,39.30388889,-102.4233333,235,0.42
Black Hawk,CO,39.80416667,-105.495,128,6.871
Blanca,CO,37.43916667,-105.5136111,406,4.747
Blue River[c],CO,39.43583333,-106.0352778,921,6.637
Bonanza[d],CO,38.29666667,-106.1419444,19,1.133
Boone,CO,38.24944444,-104.2580556,367,1.006
Boulder,CO,40.02472222,-105.2525,"105,673",70.877
Bow Mar,CO,39.62527778,-105.0511111,942,2.104
Branson,CO,37.01555556,-103.8838889,72,0.634
Breckenridge[g],CO,39.49944444,-106.0433333,"4,945",15.661
Brighton,CO,39.97166667,-104.7963889,"41,554",55.777
Brookside[h],CO,38.41361111,-105.1908333,262,1.227
Broomfield,CO,39.95416667,-105.0527778,"70,465",86.89
Brush,CO,40.26,-103.6322222,"5,420",7.339
Buena Vista,CO,38.83194444,-106.1386111,"2,866",8.942
Burlington,CO,39.30416667,-102.2713889,"3,140",5.575
Calhan,CO,39.03444444,-104.2994444,834,2.144
Campo,CO,37.10472222,-102.5788889,102,0.374
Ca–on City,CO,38.44305556,-105.2202778,"16,725",32.127
Carbonate[k],CO,39.74416667,-107.3391667,0,2.605
Carbondale,CO,39.395,-107.2147222,"6,898",5.237
Castle Pines,CO,39.4625,-104.8705556,"10,763",24.849
Castle Rock,CO,39.37611111,-104.8536111,"68,484",88.811
Cedaredge,CO,38.89416667,-107.9255556,"2,295",5.078
Centennial,CO,39.5925,-104.8672222,"110,937",77.355
Center,CO,37.75111111,-106.1105556,"2,264",2.238
Central City,CO,39.79472222,-105.5119444,770,5.594
Cheraw,CO,38.1075,-103.5111111,249,0.474
Cherry Hills Village,CO,39.6375,-104.9480556,"6,647",16.255
Cheyenne Wells,CO,38.81916667,-102.3519444,828,2.77
Coal Creek,CO,38.36222222,-105.1422222,350,3.092
Cokedale,CO,37.14416667,-104.6216667,120,0.531
Collbran,CO,39.24,-107.9636111,698,1.446
Colorado Springs,CO,38.8675,-104.7605556,"478,221",507.019
Columbine Valley[m],CO,39.59944444,-105.0352778,"1,499",2.573
Commerce City,CO,39.86416667,-104.8430556,"60,336",94.273
Cortez,CO,37.35027778,-108.5766667,"8,736",16.249
Craig,CO,40.51694444,-107.5552778,"9,022",13.138
Crawford,CO,38.705,-107.6097222,433,0.651
Creede,CO,37.84861111,-106.9252778,313,2.46
Crested Butte,CO,38.8675,-106.9772222,"1,723",2.166
Crestone,CO,37.99444444,-105.6961111,140,0.996
Cripple Creek,CO,38.74666667,-105.185,"1,258",3.941
Crook,CO,40.85888889,-102.8013889,109,0.349
Crowley,CO,38.19361111,-103.8597222,175,0.584
Dacono,CO,40.06222222,-104.9477778,"6,034",22.782
De Beque,CO,39.31027778,-108.205,518,7.196
Deer Trail,CO,39.615,-104.0433333,800,3.055
Del Norte,CO,37.67833333,-106.3538889,"1,568",2.547
Delta,CO,38.75611111,-108.0772222,"8,995",35.043
Denver[p][q],CO,39.76194444,-104.8761111,"727,211",400.739
Dillon,CO,39.62138889,-106.0394444,967,6.018
Dinosaur,CO,40.23972222,-109.0066667,332,2.408
Dolores,CO,37.47416667,-108.5,955,1.721
