,City,Date,lat,lon,AQI,CO,NO,NO2,O3,SO2,PM25,PM10,NH3,Population,Year,Month,Day,Hour,Minute
0,Aguilar,1626958800,37.4036,-104.655,1,201.94,0.01,2.01,42.2,0.03,5.68,6.39,1.66,480,2021,7,22,13,0
1,Akron,1626958800,40.1633,-103.2203,1,195.27,0.02,1.11,55.79,0.09,5.73,7.24,2.06,"1,723",2021,7,22,13,0
2,Alamosa,1626958800,37.4753,-105.8769,1,150.2,0.39,3.3,2.64,0.01,5.33,5.51,1.17,"9,591",2021,7,22,13,0
3,Alma,1626958800,39.2858,-106.0669,1,185.25,0.02,1.18,36.12,0.11,7.5,7.81,0.21,313,2021,7,22,13,0
4,Antonito,1626958800,37.0761,-106.0103,1,170.23,0.02,0.75,15.2,0.02,6.27,6.47,0.75,747,2021,7,22,13,0
5,Arriba,1626958800,39.2844,-103.2742,1,190.26,0.01,1.22,61.51,0.13,6.57,10.35,1.82,207,2021,7,22,13,0
6,Arvada,1626958800,39.8319,-105.1511,1,240.33,0.22,6.86,18.06,0.15,5.28,5.86,0.78,"121,272",2021,7,22,13,0
7,Aspen,1626958800,39.195,-106.8367,1,171.9,0.01,0.74,23.25,0.05,4.63,4.84,2.09,"7,401",2021,7,22,13,0
8,Ault,1626958800,40.5892,-104.7392,1,230.31,0.08,4.16,19.67,0.16,7.35,7.84,3.52,"1,871",2021,7,22,13,0
9,Aurora,1626958800,39.7083,-104.7239,2,283.72,0.67,21.59,13.05,2.8,15.41,16.28,1.22,"379,289",2021,7,22,13,0
10,Avon,1626958800,39.6442,-106.5131,1,166.89,0.19,5.36,7.69,0.05,4.58,4.97,2.47,"6,511",2021,7,22,13,0
11,Basalt,1626958800,39.3664,-107.0414,1,166.89,0.18,3.17,3.13,0.0,4.96,5.34,0.45,"4,157",2021,7,22,13,0
12,Bayfield,1626958800,37.2342,-107.5953,1,168.56,0.01,0.5,16.27,0.01,3.38,3.72,0.34,"2,689",2021,7,22,13,0
13,Bennett,1626958800,39.7367,-104.4286,2,250.34,0.06,7.97,37.91,1.24,14.85,15.63,1.16,"2,798",2021,7,22,13,0
14,Berthoud,1626958800,40.3072,-105.0425,1,180.24,0.13,2.79,10.64,0.02,3.62,4.26,0.92,"9,094",2021,7,22,13,0
15,Bethune,1626958800,39.3039,-102.4233,1,201.94,0.02,1.08,69.38,0.4,6.67,6.77,1.92,235,2021,7,22,13,0
16,Black Hawk,1626958800,39.8042,-105.495,1,195.27,0.01,0.83,31.83,0.05,6.27,6.67,0.07,128,2021,7,22,13,0
17,Blanca,1626958800,37.4392,-105.5136,1,210.29,0.03,4.41,35.41,0.06,5.7,6.03,5.7,406,2021,7,22,13,0
18,Blue River,1626958800,39.4358,-106.0353,2,185.25,0.05,4.5,27.54,0.28,10.65,11.13,0.29,921,2021,7,22,13,0
19,Bonanza,1626958800,38.2967,-106.1419,1,181.91,0.0,0.56,36.84,0.12,7.42,7.91,0.95,19,2021,7,22,13,0
20,Boone,1626958800,38.2494,-104.2581,1,190.26,0.01,1.25,45.06,0.03,8.05,19.84,2.06,367,2021,7,22,13,0
21,Boulder,1626958800,40.0247,-105.2525,1,216.96,0.01,0.68,41.49,0.09,3.98,4.34,0.21,"105,673",2021,7,22,13,0
22,Bow Mar,1626958800,39.6253,-105.0511,1,230.31,0.05,3.81,40.05,0.18,8.59,9.23,0.44,942,2021,7,22,13,0
23,Branson,1626958800,37.0156,-103.8839,1,188.59,0.01,1.41,52.93,0.03,6.16,8.17,2.15,72,2021,7,22,13,0
24,Breckenridge,1626958800,39.4994,-106.0433,2,185.25,0.05,4.5,27.54,0.28,10.65,11.13,0.29,"4,945",2021,7,22,13,0
25,Brighton,1626958800,39.9717,-104.7964,1,257.02,1.12,14.74,4.2,0.51,8.14,9.18,3.71,"41,554",2021,7,22,13,0
26,Brookside,1626958800,38.4136,-105.1908,2,206.95,0.01,1.46,25.39,0.11,13.18,13.65,0.9,262,2021,7,22,13,0
27,Broomfield,1626958800,39.9542,-105.0528,1,240.33,0.22,6.86,18.06,0.15,5.28,5.86,0.78,"70,465",2021,7,22,13,0
28,Brush,1626958800,40.26,-103.6322,2,226.97,0.2,5.57,23.25,0.05,13.82,14.64,5.51,"5,420",2021,7,22,13,0
29,Buena Vista,1626958800,38.8319,-106.1386,1,176.91,0.02,1.23,21.28,0.03,5.33,5.53,0.09,"2,866",2021,7,22,13,0
30,Burlington,1626958800,39.3042,-102.2714,1,205.28,0.01,1.01,70.1,0.48,6.61,6.71,1.87,"3,140",2021,7,22,13,0
31,Calhan,1626958800,39.0344,-104.2994,1,200.27,0.01,1.59,57.94,0.15,8.58,12.68,1.87,834,2021,7,22,13,0
32,Campo,1626958800,37.1047,-102.5789,1,183.58,0.01,0.62,79.39,0.06,5.58,5.7,1.6,102,2021,7,22,13,0
33,Ca–on City,1626958800,38.4431,-105.2203,2,195.27,0.03,1.91,16.45,0.04,10.23,10.54,0.96,"16,725",2021,7,22,13,0
34,Carbonate,1626958800,39.7442,-107.3392,1,170.23,0.0,0.55,21.99,0.01,4.42,5.06,0.86,0,2021,7,22,13,0
35,Carbondale,1626958800,39.395,-107.2147,1,148.54,0.03,1.67,7.06,0.01,2.55,3.0,1.98,"6,898",2021,7,22,13,0
36,Castle Pines,1626958800,39.4625,-104.8706,2,280.38,2.65,12.34,6.44,0.6,14.46,15.17,0.92,"10,763",2021,7,22,13,0
37,Castle Rock,1626958800,39.3761,-104.8536,2,226.97,0.02,1.35,23.25,0.06,16.19,16.57,0.47,"68,484",2021,7,22,13,0
38,Cedaredge,1626958800,38.8942,-107.9256,1,183.58,0.01,1.44,21.82,0.03,3.6,4.01,1.16,"2,295",2021,7,22,13,0
39,Centennial,1626958800,39.5925,-104.8672,2,280.38,2.65,12.34,6.44,0.6,14.46,15.17,0.92,"110,937",2021,7,22,13,0
40,Center,1626958800,37.7511,-106.1106,1,151.87,0.35,3.17,2.91,0.01,5.62,5.89,3.17,"2,264",2021,7,22,13,0
41,Central City,1626958800,39.7947,-105.5119,1,210.29,0.01,1.02,48.64,0.11,8.62,9.07,0.13,770,2021,7,22,13,0
42,Cheraw,1626958800,38.1075,-103.5111,1,195.27,0.02,1.74,52.21,0.04,8.29,19.74,2.82,249,2021,7,22,13,0
43,Cherry Hills Village,1626958800,39.6375,-104.9481,2,327.11,4.41,23.31,5.72,1.83,11.47,12.41,1.31,"6,647",2021,7,22,13,0
44,Cheyenne Wells,1626958800,38.8192,-102.3519,1,206.95,0.01,0.92,68.67,0.48,6.62,6.71,1.6,828,2021,7,22,13,0
45,Coal Creek,1626958800,38.3622,-105.1422,2,203.61,0.02,2.42,21.64,0.06,14.41,14.94,2.09,350,2021,7,22,13,0
46,Cokedale,1626958800,37.1442,-104.6217,1,151.87,0.02,1.56,17.7,0.0,6.29,9.27,0.6,120,2021,7,22,13,0
47,Collbran,1626958800,39.24,-107.9636,1,160.22,0.23,3.73,5.81,0.01,2.19,2.53,3.2,698,2021,7,22,13,0
48,Colorado Springs,1626958800,38.8675,-104.7606,2,223.64,0.16,8.82,37.91,0.28,10.48,11.44,2.0,"478,221",2021,7,22,13,0
49,Columbine Valley,1626958800,39.5994,-105.0353,2,220.3,0.15,3.77,25.39,0.11,12.71,13.38,0.44,"1,499",2021,7,22,13,0
50,Commerce City,1626958800,39.8642,-104.8431,1,250.34,1.87,12.51,4.34,0.22,4.43,5.17,2.34,"60,336",2021,7,22,13,0
51,Cortez,1626958800,37.3503,-108.5767,1,180.24,0.01,1.39,18.24,0.03,3.18,3.53,0.64,"8,736",2021,7,22,13,0
52,Craig,1626958800,40.5169,-107.5553,1,193.6,0.01,1.65,24.68,0.63,3.65,4.04,1.09,"9,022",2021,7,22,13,0
53,Crawford,1626958800,38.705,-107.6097,1,171.9,0.01,1.48,12.34,0.01,3.07,3.37,1.76,433,2021,7,22,13,0
54,Creede,1626958800,37.8486,-106.9253,1,163.56,0.01,0.54,19.85,0.03,4.45,4.58,0.14,313,2021,7,22,13,0
55,Crested Butte,1626958800,38.8675,-106.9772,1,178.58,0.0,0.39,35.05,0.08,5.61,5.85,2.22,"1,723",2021,7,22,13,0
56,Crestone,1626958800,37.9944,-105.6961,1,176.91,0.01,1.46,25.75,0.07,9.52,10.09,4.56,140,2021,7,22,13,0
57,Cripple Creek,1626958800,38.7467,-105.185,2,208.62,0.02,1.86,28.97,0.09,14.03,14.71,0.42,"1,258",2021,7,22,13,0
58,Crook,1626958800,40.8589,-102.8014,1,190.26,0.09,2.74,39.34,0.06,7.51,7.91,3.42,109,2021,7,22,13,0
59,Crowley,1626958800,38.1936,-103.8597,2,198.6,0.01,1.37,55.08,0.05,10.08,29.21,2.69,175,2021,7,22,13,0
60,Dacono,1626958800,40.0622,-104.9478,1,213.62,0.3,6.77,9.57,0.08,4.29,4.99,3.39,"6,034",2021,7,22,13,0
61,De Beque,1626958800,39.3103,-108.205,1,203.61,0.0,1.67,26.11,0.07,2.71,3.12,4.69,518,2021,7,22,13,0
62,Deer Trail,1626958800,39.615,-104.0433,1,213.62,0.02,2.72,51.5,0.1,9.21,10.67,2.09,800,2021,7,22,13,0
63,Del Norte,1626958800,37.6783,-106.3539,1,156.88,0.05,1.59,6.8,0.01,5.15,5.37,0.84,"1,568",2021,7,22,13,0
